B
BA
AVGO
BABA
BAC
BE
BJ
BV
BRY
BSVN
CVS
CGC
CLDR
CHK
CSCO
CRON
CNST
CWK
CRNX
D
DOMO
^DJI
DAVA
DMAC
DDMXU
DOCU
DIS
DG
E
ESTC
ELAN
EB
ESTA
EVER
ETON
EQ
ETTX
F
FB
FTCH
FOCS
FTSV
MYFW
FTACU
FNMA
G
GE
GH
GERN
GRTS
GMDA
GLACU
H
HYRE
HEAR
HEXO
HD
HAIR
I
INTC
IQ
IBM
QQQ
ICON
IIPR
^IXIC
JG
JNJ
JPM
JD
JCP
JNUG
JBL
JBLU
JKS
K
KHC
KOD
KO
KMI
KNDI
KR
KTOV
KGKG
L
LTHM
LOGC
LQDA
LEGH
LAIX
LOACU
LRCX
LMT
M
T
MSFT
MDB
MU
MRNA
MESA
MOGU
NIO
NVDA
NFLX
NVAX
NIU
NTGN
STIM
NMCI
NOK
O
ORCL
OPRA
ORTX
OSMT
OPK
OKTA
OLED
OSTK
P
PLUG
PDD
PLAN
PHAS
PRNB
PT
PCB
TEUM
PFE
QCOM
QTT
QFIN
QD
QURE
QBIO
QRVO
QTNA
QUAD
R
ROKU
RAD
RMED
RUBY
REPL
RIG
RDS-A
RKDA
S
SNAP
SPY
STNE
SLNO
SONO
SQ
SWI
TSLA
TLRY
TME
TENB
THOR
TWST
TBIO
UXIN
UPWK
UROV
UTC
ULTA
X
UNH
UVXY
UGAZ
UNIT
V
VIOT
VAPO
VCNX
TVIX
VZ
VKTX
W
WEI
WMT
WFC
WDC
WBA
WAB
WYNN
XYF
XOM
XLNX
XXII
XPO
XLF
XBI
XLE
Y
YETI
YI
YMAB
YRIV
AUY
YY
YUM
YOGA
YRCW
Z
ZS
ZNGA
ZSAN
ZUMZ
ZUO
ZIOP
ZEN
ZN
BHC
BIDU
GOLD
BAM
BZUN
BB
BBY
BBBY
BBT
BBW
BBVA
BFR
BBD
BBDA
BC
BCE
BCS
BCLI
BCRX
BCCI
BCO
BCOV
BCC
BDSI
BDX
BDRBF
BDC
BDCL
BDJ
BDN
BDR
BDCS
BDRAF
BRK-B
BRK-A
BEP
BEAT
BF-B
BFOCX
BFAM
BFC
BFS
BFIN
BFK
BF-A
BG
BGS
BGCP
BGNE
BGG
BGFV
BGSF
BGEIX
BGSAX
BH
BHGE
BHP
BHF
BHVN
BBL
BHTG
BHE
BPTH
BIOC
BIOS
BTX
BILI
BIIB
BPMX
BJRI
BJK
BJBHX
BJCHF
BJUL
BJBGX
BJINY
BK
BKNG
BKE
BKEP
BKS
BKCC
BKD
BKI
BKH
BL
BX
BLNK
BLDP
BLUE
APRN
BLKCF
BLK
BMY
BMRN
BMA
BMO
BMS
BMI
BMWYY
BMCH
BME
BMTC
BND
BNS
BNGO
BNED
BNDX
BNFT
BNTC
BNO
BNPQY
BNCL
BOX
BOXL
BSX
BOTZ
BYD
BWA
SAM
BOOT
BP
BPY
BPT
BPL
BPR
BPMC
BPI
BQH
BQFIX
BQMGX
BQLIX
BTQNF
BQLCX
BQMIX
BQFKX
BR
BRS
BTI
BSGM
BSV
